date,game_num,day_of_week,v_team,v_league,v_game_num,h_team,h_league,h_game_num,v_score,h_score,length_in_outs,day_night,completion_info,forfeit_info,protest_info,park_id,attendance,time_of_game_min,v_line_score,h_line_score,v_at_bats,v_hits,v_doubles,v_triples,v_homeruns,v_rbi,v_sacrifice_hits,v_sacrifice_flies,v_hit_by_pitch,v_walks,v_intentional_walks,v_strikeouts,v_stolen_bases,v_caught_stealing,v_grounded_into_dp,v_catcher_interference,v_left_on_base,v_pitchers_used,v_individual_earned_runs,v_team_earned_runs,v_wild_pitches,v_balks,v_putouts,v_assists,v_errors,v_passed_balls,v_double_plays,v_triple_plays,h_at_bats,h_hits,h_doubles,h_triples,h_homeruns,h_rbi,h_sacrifice_hits,h_sacrifice_flies,h_hit_by_pitch,h_walks,h_intentional_walks,h_strikeouts,h_stolen_bases,h_caught_stealing,h_grounded_into_dp,h_catcher_interference,h_left_on_base,h_pitchers_used,h_individual_earned_runs,h_team_earned_runs,h_wild_pitches,h_balks,h_putouts,h_assists,h_errors,h_passed_balls,h_double_plays,h_triple_plays,hp_umpire_id,hp_umpire_name,1b_umpire_id,1b_umpire_name,2b_umpire_id,2b_umpire_name,3b_umpire_id,3b_umpire_name,lf_umpire_id,lf_umpire_name,rf_umpire_id,rf_umpire_name,v_manager_id,v_manager_name,h_manager_id,h_manager_name,winning_pitcher_id,winning_pitcher_name,losing_pitcher_id,losing_pitcher_name,saving_pitcher_id,saving_pitcher_name,gwrbi_batter_id,gwrbi_batter_name,v_starting_pitcher_id,v_starting_pitcher_name,h_starting_pitcher_id,h_starting_pitcher_name,v_player_1_id,v_player_1_name,v_player_1_pos,v_player_2_id,v_player_2_name,v_player_2_pos,v_player_3_id,v_player_3_name,v_player_3_pos,v_player_4_id,v_player_4_name,v_player_4_pos,v_player_5_id,v_player_5_name,v_player_5_pos,v_player_6_id,v_player_6_name,v_player_6_pos,v_player_7_id,v_player_7_name,v_player_7_pos,v_player_8_id,v_player_8_name,v_player_8_pos,v_player_9_id,v_player_9_name,v_player_9_pos,h_player_1_id,h_player_1_name,h_player_1_pos,h_player_2_id,h_player_2_name,h_player_2_pos,h_player_3_id,h_player_3_name,h_player_3_pos,h_player_4_id,h_player_4_name,h_player_4_pos,h_player_5_id,h_player_5_name,h_player_5_pos,h_player_6_id,h_player_6_name,h_player_6_pos,h_player_7_id,h_player_7_name,h_player_7_pos,h_player_8_id,h_player_8_name,h_player_8_pos,h_player_9_id,h_player_9_name,h_player_9_pos,additional_info,acquisition_info
"20241025","0","Fri","NYA","AL",1,"LAN","NL",1,3,6,59,"N","","","","LOS03",52394,207,"0000020001","0000100104",40,10,1,0,1,3,0,0,0,4,3,13,4,0,1,0,11,6,5,5,0,0,29,5,1,0,0,0,33,7,2,2,1,6,1,2,1,2,1,4,0,0,0,0,4,6,3,3,0,0,30,11,1,0,1,0,"torrc901","Carlos Torres","carlm901","Mark Carlson","eddid901","Doug Eddings","rippm901","Mark Ripperger","fairc901","Chad Fairchild","ticht901","Todd Tichenor","boona001","Aaron Boone","robed001","Dave Roberts","treib001","Blake Treinen","cousj001","Jake Cousins","","(none)","freef001","Freddie Freeman","coleg001","Gerrit Cole","flahj002","Jack Flaherty","torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"stanm004","Giancarlo Stanton",10,"chisj001","Jazz Chisholm",5,"rizza001","Anthony Rizzo",3,"volpa001","Anthony Volpe",6,"wella002","Austin Wells",2,"verda001","Alex Verdugo",7,"ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"freef001","Freddie Freeman",3,"hernt002","Teoscar Hernandez",7,"muncm001","Max Muncy",5,"herne001","Enrique Hernandez",8,"smitw003","Will Smith",2,"lux-g001","Gavin Lux",4,"edmat001","Tommy Edman",6,"","Y"
"20241026","0","Sat","NYA","AL",2,"LAN","NL",2,2,4,51,"N","","","","LOS03",52725,173,"001000001","01300000x",31,4,0,0,1,2,0,0,2,2,0,7,0,0,0,0,6,5,4,4,0,0,24,7,0,0,0,0,31,8,2,0,3,4,0,0,0,1,0,6,1,1,0,0,4,5,2,2,1,0,27,11,0,0,0,0,"fleta901","Andy Fletcher","eddid901","Doug Eddings","rippm901","Mark Ripperger","fairc901","Chad Fairchild","ticht901","Todd Tichenor","torrc901","Carlos Torres","boona001","Aaron Boone","robed001","Dave Roberts","yamay001","Yoshinobu Yamamoto","rodoc001","Carlos Rodon","vesia001","Alex Vesia","hernt002","Teoscar Hernandez","rodoc001","Carlos Rodon","yamay001","Yoshinobu Yamamoto","torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"stanm004","Giancarlo Stanton",10,"chisj001","Jazz Chisholm",5,"rizza001","Anthony Rizzo",3,"volpa001","Anthony Volpe",6,"wella002","Austin Wells",2,"verda001","Alex Verdugo",7,"ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"hernt002","Teoscar Hernandez",7,"freef001","Freddie Freeman",3,"edmat001","Tommy Edman",8,"herne001","Enrique Hernandez",4,"muncm001","Max Muncy",5,"smitw003","Will Smith",2,"rojam002","Miguel Rojas",6,"","Y"
"20241028","0","Mon","LAN","NL",3,"NYA","AL",3,4,2,54,"N","","","","NYC21",49368,205,"201001000","000000002",30,5,0,0,1,4,0,0,2,6,0,7,1,1,2,0,7,7,2,2,1,0,27,7,0,0,0,0,31,5,1,0,1,2,0,0,0,6,0,11,0,0,0,0,8,8,4,4,0,0,27,10,1,0,3,0,"carlm901","Mark Carlson","rippm901","Mark Ripperger","fairc901","Chad Fairchild","ticht901","Todd Tichenor","torrc901","Carlos Torres","fleta901","Andy Fletcher","robed001","Dave Roberts","boona001","Aaron Boone","buehw001","Walker Buehler","schmc002","Clarke Schmidt","","(none)","freef001","Freddie Freeman","buehw001","Walker Buehler","schmc002","Clarke Schmidt","ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"freef001","Freddie Freeman",3,"hernt002","Teoscar Hernandez",7,"muncm001","Max Muncy",5,"smitw003","Will Smith",2,"lux-g001","Gavin Lux",4,"herne001","Enrique Hernandez",8,"edmat001","Tommy Edman",6,"torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"stanm004","Giancarlo Stanton",10,"chisj001","Jazz Chisholm",5,"volpa001","Anthony Volpe",6,"rizza001","Anthony Rizzo",3,"trevj001","Jose Trevino",2,"verda001","Alex Verdugo",7,"","Y"
"20241029","0","Tue","LAN","NL",4,"NYA","AL",4,4,11,51,"N","","","","NYC21",49354,196,"200020000","01400105x",32,6,2,0,2,4,0,0,0,3,0,8,1,0,0,0,4,4,11,11,0,0,24,6,1,0,1,0,34,9,3,0,3,11,0,0,1,6,0,4,5,0,1,0,6,6,4,4,0,0,27,9,0,0,1,0,"eddid901","Doug Eddings","fairc901","Chad Fairchild","ticht901","Todd Tichenor","torrc901","Carlos Torres","fleta901","Andy Fletcher","carlm901","Mark Carlson","robed001","Dave Roberts","boona001","Aaron Boone","holmc001","Clay Holmes","hudsd001","Daniel Hudson","","(none)","volpa001","Anthony Volpe","caspb001","Ben Casparius","gil-l001","Luis Gil","ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"freef001","Freddie Freeman",3,"hernt002","Teoscar Hernandez",7,"muncm001","Max Muncy",5,"herne001","Enrique Hernandez",8,"lux-g001","Gavin Lux",4,"smitw003","Will Smith",2,"edmat001","Tommy Edman",6,"torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"chisj001","Jazz Chisholm",5,"stanm004","Giancarlo Stanton",10,"rizza001","Anthony Rizzo",3,"volpa001","Anthony Volpe",6,"wella002","Austin Wells",2,"verda001","Alex Verdugo",7,"","Y"
"20241030","0","Wed","LAN","NL",5,"NYA","AL",5,7,6,54,"N","","","","NYC21",49263,222,"000050020","311001000",34,7,1,0,0,7,0,2,0,7,0,9,0,0,0,1,10,8,6,6,1,0,27,9,0,0,0,0,34,8,2,0,3,6,0,1,1,9,0,9,0,0,0,0,12,5,2,2,0,1,27,4,3,0,0,0,"rippm901","Mark Ripperger","ticht901","Todd Tichenor","torrc901","Carlos Torres","fleta901","Andy Fletcher","carlm901","Mark Carlson","eddid901","Doug Eddings","robed001","Dave Roberts","boona001","Aaron Boone","treib001","Blake Treinen","kahnt001","Tommy Kahnle","buehw001","Walker Buehler","bettm001","Mookie Betts","flahj002","Jack Flaherty","coleg001","Gerrit Cole","ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"freef001","Freddie Freeman",3,"hernt002","Teoscar Hernandez",7,"muncm001","Max Muncy",5,"herne001","Enrique Hernandez",8,"edmat001","Tommy Edman",6,"smitw003","Will Smith",2,"lux-g001","Gavin Lux",4,"torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"chisj001","Jazz Chisholm",5,"stanm004","Giancarlo Stanton",10,"rizza001","Anthony Rizzo",3,"volpa001","Anthony Volpe",6,"wella002","Austin Wells",2,"verda001","Alex Verdugo",7,"","Y"
