player_id,player_name,xwoba,k_percent,bb_percent,hardhit_percent,barrels_per_bbe_percent,velocity,spin_rate,swing_miss_percent
607067,"Rea, Colin",0.339,18.9,5.9,42.01520912547528,8.745247148288973,88.7,2104,19.3
656427,"Flaherty, Jack",0.292,29.9,5.9,34.866828087167065,7.74818401937046,87.1,2336,32.1
615698,"Quantrill, Cal",0.351,16.6,10.5,41.20171673819743,7.296137339055794,88.7,1856,21.6
593423,"Montas, Frankie",0.333,22.6,9.9,43.08755760368664,9.216589861751151,91.6,2224,24.9
543135,"Eovaldi, Nathan",0.306,23.9,6.0,42.61954261954262,7.6923076923076925,89.8,1983,26.8
596295,"Gomber, Austin",0.344,16.7,5.5,41.21996303142329,9.611829944547134,84.5,2196,19.9
608379,"Wacha, Michael",0.311,21.2,6.4,32.515337423312886,8.1799591002045,86.7,1924,23.3
664285,"Valdez, Framber",0.287,23.9,7.8,45.03171247357294,5.2854122621564485,88.5,2318,27.2
684007,"Imanaga, Shota",0.286,25.1,4.0,39.2638036809816,8.588957055214724,87.1,1997,28.3
663372,"Feltner, Ryan",0.32,19.9,7.5,36.76767676767677,6.4646464646464645,89.8,2287,23.9
668881,"Greene, Hunter",0.271,27.7,9.3,32.51366120218579,5.191256830601093,92.7,2280,29.7
665871,"Assad, Javier",0.34,19.4,9.9,39.7752808988764,8.764044943820224,87.4,2045,17.9
668678,"Gallen, Zac",0.308,25.1,8.7,41.03194103194103,7.371007371007371,88.5,2238,26.0
681293,"Arrighetti, Spencer",0.311,27.1,10.1,39.84575835475578,7.712082262210797,87.6,2443,27.7
641793,"Littell, Zack",0.321,21.5,4.7,39.12133891213389,9.623430962343097,87.4,1850,23.1
592791,"Taillon, Jameson",0.311,18.5,4.9,38.83495145631068,7.184466019417475,86.9,2453,19.5
543243,"Gray, Sonny",0.297,30.1,5.8,37.88235294117647,8.941176470588236,88.1,2528,29.8
687765,"Spence, Mitch",0.314,19.4,6.8,41.68421052631579,8.421052631578947,87.5,2534,22.5
663362,"Waldron, Matt",0.313,21.3,6.4,35.0,7.045454545454545,83.0,1422,20.8
621107,"Eflin, Zach",0.297,19.6,3.5,36.137667304015295,7.45697896749522,86.8,2215,21.6
669194,"Nelson, Ryne",0.315,20.1,5.1,41.5948275862069,7.543103448275862,91.1,2228,18.2
594902,"Lively, Ben",0.309,18.7,7.6,41.52173913043478,6.521739130434782,86.1,1964,18.6
680730,"Parker, Mitchell",0.322,20.6,6.7,38.88888888888889,8.11965811965812,87.7,1991,22.3
676979,"Crochet, Garrett",0.263,35.1,5.5,38.793103448275865,9.195402298850574,93.9,2500,33.1
601713,"Pivetta, Nick",0.291,29.0,5.9,38.860103626943,10.103626943005182,88.0,2441,25.6
624133,"Suárez, Ranger",0.297,23.2,6.4,34.331797235023046,5.0691244239631335,85.4,1887,21.9
671096,"Abbott, Andrew",0.31,19.5,8.7,33.49282296650718,9.330143540669855,88.3,2381,22.6
680573,"Woods Richardson, Simeon",0.31,20.6,8.3,36.15960099750624,8.229426433915211,87.4,2277,22.3
