"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
657,677588,"Tena, José",673,97.6,0.274,0.089,0.348,0.363,0.293,0.31,0.26,43,157,89.6,6.5,2302,88.6,88.87,79,331,326,0.30000000000001137,6.48,115,147,106,150,292,321,302,"4.886","-4.886","68.9","6.7",164,118,35,5,0,3,39,23.8,7,4.3,2.38379,0.56877,0.27845,-0.1578,"91.7",155,48.30508474576271,8.47457627118644,6.097560975609756,5.74,-0.74,-0.17,2.27,0.305,10,"-0.743683409",0.292,0.423,"0.743683409",0.014,0.013000000000000012,-0.06,-0.017,23.9,"36.9",5.972052738774938,1.8383441527079227,35.45694313615416,0.3588957055214724,34.53769092738978,33.813447763323964
648,656541,"Hilliard, Sam",648,100,0.239,0.268,0.311,0.507,0.342,0.297,0.215,33,138,90.8,13.5,2268,89,89.46,124,304,344,0.5,6.39,116,147,117,152,298,329,305,"-5.314","5.314","72.1","7.0",157,88,17,5,1,10,56,35.7,13,8.3,2.44611,0.45599,0.27397,-0.16969,"92.7",164,52.27272727272727,14.772727272727273,8.280254777070063,5.69,-0.84,-0.16,2.38,0.301,13,"0.820061728",0.28,0.403,"-0.820061728",0.024,0.020999999999999963,0.104,0.045,40.8,"36.2",8.131105060502085,-1.2081338736516725,27.026168753071683,0.45918367346938777,37.94997168601957,31.46272633228584
647,655316,"Monasterio, Andruw",647,100,0.208,0.064,0.298,0.272,0.266,0.291,0.211,26,125,87.5,14.7,2276,89.5,89.75,66,275,372,0.20000000000000284,6.36,108,151,113,147,305,320,287,"3.421","-3.421","66.3","6.6",142,85,20,5,0,1,40,28.2,16,11.3,2.24142,0.64167,0.40298,-0.22654,"90.7",170,41.17647058823529,9.411764705882353,5.633802816901409,5.73,0.22,0.2,2.35,0.303,8,"-0.528748068",0.305,0.342,"0.528748068",-0.003,-0.0020000000000000018,-0.07,-0.025,24,"37.9",5.847392572193038,-0.2586558940389711,35.1810071386665,0.3925925925925926,35.07181816732338,31.407581695488666
637,571912,"Maile, Luke",637,100,0.178,0.074,0.268,0.252,0.238,0.238,0.177,24,135,83.7,9.8,2266,89.3,89.53,83,288,349,0.20000000000000284,6.43,110,151,122,147,300,320,287,"10.547","-10.547","65.8","6.6",153,85,18,4,0,2,52,34,12,7.8,2.27375,0.6397,0.28906,0.04083,"90.0",138,24.705882352941178,3.5294117647058822,1.9607843137254901,5.82,-0.61,0.19,2.4,0.263,3,"-1.655729984",0.263,0.252,"1.655729984",0.001,0,0,0,28.8,"38.6",13.555136154174503,-1.306641037586695,34.29137078024029,0.5155038759689923,36.634137564546954,33.20380537926411
634,681546,"Outman, James",634,100,0.147,0.118,0.208,0.265,0.242,0.282,0.198,20,136,87.6,15.4,2211,88.9,89.07,112,302,332,0.19999999999998863,6.41,117,145,113,151,296,320,298,"9.871","-9.871","70.8","7.7",156,81,12,4,0,4,55,35.3,16,10.3,2.39486,0.54303,0.34008,-0.3068,"92.1",164,38.2716049382716,4.938271604938271,2.564102564102564,5.69,-1.62,-0.08,2.4,0.256,4,"-1.556940063",0.301,0.319,"1.556940063",-0.051,-0.044999999999999984,-0.054,-0.04,37.1,"34.9",13.882905367166519,-4.7860279334181195,34.41509106867575,0.44052863436123346,36.64326215398439,29.371732989378753
631,656976,"Smith, Pavin",631,100,0.27,0.277,0.28,0.547,0.377,0.395,0.293,37,137,90.2,13.1,2198,88.8,89.08,52,242,389,0.29999999999999716,6.41,117,146,119,151,292,325,304,"-8.098","8.098","71.2","7.3",158,109,17,11,0,9,31,19.6,18,11.4,2.43805,0.5083,0.27936,-0.17981,"93.0",165,44.03669724770643,14.678899082568808,10.126582278481013,5.77,-1.23,-0.15,2.19,0.348,16,"1.283359746",0.374,0.529,"-1.283359746",-0.023,-0.026000000000000023,0.018,-0.018,21.5,"38.0",10.81894442591535,-3.13339651421128,31.346312067657095,0.49356223175965663,37.37609130133228,30.207953329879906
629,681393,"Norby, Connor",759,82.9,0.247,0.199,0.33,0.445,0.329,0.336,0.238,36,146,86.2,15.3,2268,88.7,88.92,120,354,275,0.20000000000000284,6.48,107,150,121,145,303,319,290,"2.932","-2.932","68.3","7.1",162,95,21,8,0,7,52,32.1,15,9.3,2.34948,0.6058,0.28764,-0.0249,"91.1",169,38.94736842105263,14.736842105263156,8.641975308641975,5.73,-0.58,0.15,2.34,0.315,14,"-0.466136725",0.31,0.465,"0.466136725",0.009,0.0050000000000000044,-0.02,-0.007,33.9,"37.3",18.180510587651977,8.271033642449929,42.506770082682344,0.3782991202346041,37.64258254463415,29.071637577014595
625,605361,"Martini, Nick",625,100,0.212,0.158,0.245,0.37,0.279,0.276,0.214,31,146,87.4,14.9,2212,90.2,90.52,77,310,314,0.29999999999999716,6.45,115,145,114,151,288,322,298,"2.324","-2.324","68.2","6.8",163,111,20,4,2,5,38,23.3,9,5.5,2.13734,0.69664,0.38851,-0.25258,"91.4",154,34.234234234234236,7.207207207207207,4.9079754601226995,5.73,-1.18,-0.08,2.43,0.272,8,"-0.37184",0.278,0.34,"0.37184",-0.002,-0.006000000000000005,0.03,0.003,24.8,"37.0",10.560372715752619,-1.374667793739663,29.68544310835632,0.5451263537906137,36.32136073437823,27.068177925921642
608,592178,"Bryant, Kris",608,100,0.218,0.083,0.321,0.301,0.287,0.29,0.211,29,133,85.1,18.5,2261,88.3,88.86,107,290,318,0.6000000000000085,6.44,109,151,123,146,304,325,293,"4.656","-4.656","68.0","7.9",155,86,22,5,0,2,48,31,13,8.4,2.47146,0.48808,0.18587,0.02835,"90.6",147,30.23255813953488,4.651162790697675,2.5806451612903225,5.76,-0.99,0.14,2.19,0.323,4,"-0.765789474",0.317,0.315,"0.765789474",0.007,0.006000000000000005,-0.014,-0.003,36.9,"38.7",16.200259029344544,-4.038576431363977,37.47308507596128,0.5185185185185185,37.77169756184453,32.14452328020843
593,605131,"Barnes, Austin",593,100,0.264,0.043,0.35,0.307,0.289,0.27,0.229,37,140,85.4,8.4,2314,90.2,90.53,64,281,312,0.29999999999999716,6.43,108,151,118,147,301,317,288,"3.753","-3.753","65.3","6.2",156,106,33,3,0,1,36,23.1,14,9,2.15786,0.67973,0.37014,0.06161,"90.6",141,31.132075471698112,1.8867924528301887,1.282051282051282,5.64,-1.03,0.24,2.32,0.331,2,"-0.632883642",0.299,0.292,"0.632883642",0.035,0.03200000000000003,0.015,0.019,22.8,"36.7",3.0691205167209166,3.361675954933604,26.408085480251003,0.38076923076923075,35.74939518915798,28.384271981725988
