h_team_wins,day_night,LAN,SDN,COL,ARI,WAS,CIN,SLN,PIT,MIA,SFN,ANA,BAL,DET,CHA,NYA,HOU,MIN,KCA,CLE,OAK,BOS,SEA,TOR,TBA,CHN,TEX,MIL,NYN,ATL,PHI,SEO01,PHO01,CIN09,LOS03,MIA02,SAN02,BAL12,CHI12,HOU03,KAN06,OAK01,SEA03,STP01,ARL03,NYC20,PHI13,CHI11,WAS11,MIL06,STL10,MIN04,ATL03,DEN02,PIT08,SFO03,ANA01,DET05,NYC21,CLE08,TOR02,BOS07,MEX02,LON01,BIR01,WIL02,v_batting_xwoba,h_batting_xwoba,v_batting_k_percent,h_batting_k_percent,v_batting_bb_percent,h_batting_bb_percent,v_batting_barrels_per_pa_percent,h_batting_barrels_per_pa_percent,v_batting_hardhit_percent,h_batting_hardhit_percent,v_batting_launch_speed,h_batting_launch_speed,v_batting_bat_speed,h_batting_bat_speed,v_pitching_xwoba,h_pitching_xwoba,v_pitching_k_percent,h_pitching_k_percent,v_pitching_bb_percent,h_pitching_bb_percent,v_pitching_hardhit_percent,h_pitching_hardhit_percent,v_pitching_barrels_per_bbe_percent,h_pitching_barrels_per_bbe_percent,v_pitching_velocity,h_pitching_velocity,v_pitching_spin_rate,h_pitching_spin_rate,v_pitching_swing_miss_percent,h_pitching_swing_miss_percent
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3202,0.3197,20.2111,19.6333,7.4444,7.1444,5.6479,5.4587,37.8902,40.4575,88.3333,89.0444,70.1,70.4222,0.297,0.283,25.6,29.3,5.3,8.7,37.4761,35.4077,8.2218,6.2232,90.1,89.6,2276,2445,27.0,32.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2952,0.298,21.07,26.5778,7.08,8.0556,3.9548,5.7512,32.9516,38.901,86.67,88.2778,68.12,69.9444,0.259,0.386,44.4,17.8,2.2,9.7,41.6667,48.8372,4.1667,8.5271,88.4,86.3,2239,1915,36.7,20.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3128,0.3084,25.6222,25.81,7.5778,9.03,6.2229,5.6094,41.1987,42.1126,88.7667,89.33,70.2333,69.89,0.328,0.306,21.8,24.4,9.1,6.3,41.1392,41.8699,7.384,8.5366,91.0,92.3,2078,2121,25.9,25.9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0.3017,22.325,24.2273,7.3417,8.0091,3.5694,4.7497,32.6859,38.0314,85.6667,87.6091,67.3833,69.1727,0.334,0.297,19.5,19.6,6.8,3.5,41.7699,36.1377,7.7876,7.457,89.2,86.8,2085,2215,21.1,21.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3073,0.304,23.45,21.7222,7.94,7.0667,5.0648,5.8213,37.4028,39.6914,88.32,88.4,69.24,69.6556,0.258,0.306,24.3,23.9,6.7,6.0,33.2454,42.6195,4.2216,7.6923,88.7,89.8,2487,1983,23.7,26.8
1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2966,0.3371,25.4667,19.7,7.5222,9.1222,4.6655,6.1233,39.2086,42.7636,87.9667,89.5222,69.6889,69.4444,0.351,0.339,16.6,21.0,10.5,6.3,41.2017,40.9302,7.2961,10.6977,88.7,89.3,1856,2343,21.6,21.3
1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3084,0.3424,22.6111,20.5889,6.9111,9.7111,5.2708,6.476,39.421,41.2704,88.6222,89.2556,69.9,68.8778,0.34,0.394,24.1,20.2,9.6,11.6,40.7407,47.7011,12.963,11.4943,84.5,91.1,1795,2357,24.0,23.7
0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0.2997,26.3111,22.49,8.6889,5.52,5.0664,4.9963,40.3401,37.3385,88.1778,88.1,70.6556,68.12,0.353,0.257,18.1,30.1,8.3,8.9,41.4918,33.5227,8.6247,3.9773,86.6,90.6,2027,2220,21.0,31.8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3199,0.3192,23.9,22.1778,10.0889,9.0333,5.6585,5.3619,42.825,40.5732,88.9,88.7222,70.1111,70.3333,0.304,0.327,27.6,18.8,9.3,8.8,36.9128,38.189,8.7248,6.6929,89.3,86.1,2277,1971,31.1,22.2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3308,0.3278,23.3333,21.8667,8.2889,7.9889,6.8893,5.4865,44.5427,42.2587,90.3889,89.0889,71.5111,70.4111,0.325,0.261,28.6,28.5,11.9,6.6,36.0,33.5984,12.0,8.3499,90.2,91.4,2291,2392,33.0,27.5
0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315,0.3189,20.2889,20.1111,8.2444,7.5,5.3019,5.6819,38.7663,40.7275,88.3444,88.7444,69.7889,68.9778,0.338,0.32,22.2,24.6,7.9,5.6,44.1096,40.5797,10.137,10.5072,88.3,87.1,2102,2705,23.6,28.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3444,0.3202,20.8889,18.8556,10.1222,6.8333,7.0964,5.642,42.8436,39.57,89.8444,88.4111,70.4444,69.7778,0.314,0.328,26.5,18.0,7.7,12.7,40.9283,30.7692,10.9705,6.7308,90.6,83.9,2378,2451,30.1,26.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2976,0.289,18.8889,24.0889,7.4333,7.1222,4.0656,4.8439,33.4809,36.0926,86.7556,87.3778,67.9,68.9778,0.359,0.335,16.4,12.9,7.8,5.3,40.0,35.2751,5.2632,6.7961,85.6,87.0,1910,2117,19.7,16.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2917,0.3141,28.1111,26.53,7.8222,8.29,5.4081,6.0661,38.8453,42.0052,87.5,89.05,69.8556,70.42,0.291,0.288,29.0,22.9,5.9,3.0,38.8601,36.2676,10.1036,8.0986,88.0,91.9,2441,2148,25.6,24.1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0.296,22.325,23.3091,7.3417,8.2091,3.5694,4.0167,32.6859,35.2273,85.6667,87.1182,67.3833,68.8818,0.328,0.309,22.1,21.6,9.0,7.5,37.1032,39.4191,7.5397,7.2614,86.4,86.6,2141,2626,21.7,21.9
0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2966,0.324,25.4667,20.0333,7.5222,8.7,4.6655,5.5184,39.2086,41.4864,87.9667,89.0778,69.6889,69.4222,0.344,0.384,16.7,16.5,5.5,9.9,41.22,46.1538,9.6118,11.5385,84.5,85.5,2196,2048,19.9,16.7
0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2935,0.2956,22.84,26.4889,7.27,8.1333,4.1641,4.6991,38.2406,35.5092,88.25,86.8111,68.76,68.3444,0.357,0.271,18.2,27.7,6.9,9.3,46.6549,32.5137,8.2746,5.1913,85.7,92.7,2149,2280,22.4,29.7
0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076,0.3358,24.0778,22.97,7.5222,9.53,5.0791,6.5076,37.3353,43.0683,88.0556,89.67,68.8,70.08,0.34,0.288,21.3,28.5,8.6,6.0,39.2655,41.25,10.452,8.3333,89.8,89.6,2448,2116,24.1,27.0
0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2951,0.3013,26.6222,22.97,8.4889,5.38,4.8494,5.2807,40.4875,39.0834,88.1556,88.58,70.6333,68.68,0.311,0.316,26.2,21.9,7.6,6.3,44.5122,38.189,9.7561,8.2677,92.4,90.4,2514,2212,30.2,26.1
