player_id,player_name,xwoba,k_percent,bb_percent,barrels_per_pa_percent,hardhit_percent,launch_speed,bat_speed
681351,"O'Hoppe, Logan",0.331,29.6,6.3,7.485604606525912,46.31901840490797,90.3,68.1
676914,"Schneider, Davis",0.292,31.7,10.4,6.828193832599119,37.98449612403101,88.6,67.7
593871,"Polanco, Jorge",0.309,29.5,9.2,5.376344086021505,37.36654804270463,87.5,67.2
656775,"Mullins, Cedric",0.291,19.6,8.2,3.406813627254509,33.42857142857143,86.1,67.8
656811,"O'Hearn, Ryan",0.351,14.0,8.9,5.284552845528456,40.05305039787798,89.6,71.1
641487,"Crawford, J.P.",0.309,22.6,11.5,4.212860310421286,37.80068728522337,87.2,70.1
670623,"Paredes, Isaac",0.301,15.9,11.7,3.747072599531616,25.925925925925924,84.9,66.7
668942,"Rojas, Josh",0.292,22.8,9.3,3.79746835443038,38.170347003154575,87.8,64.3
663624,"Mountcastle, Ryan",0.332,22.5,5.3,6.31163708086785,45.20547945205479,90.8,73.6
676609,"Caballero, José",0.264,27.6,5.4,3.319502074688797,25.159235668789808,81.9,66.8
608369,"Seager, Corey",0.39,18.4,8.0,11.11111111111111,50.65616797900262,92.1,70.7
657136,"Wong, Connor",0.288,23.5,5.6,4.320987654320987,34.523809523809526,85.4,70.2
657557,"DeJong, Paul",0.291,32.4,4.8,6.224066390041494,41.49659863945578,87.8,70.9
669004,"Melendez, MJ",0.317,25.1,7.6,5.555555555555555,45.1505016722408,91.1,71.2
666176,"Adell, Jo",0.312,28.0,7.6,7.333333333333333,44.680851063829785,89.8,74.7
680474,"Schuemann, Max",0.296,25.9,10.2,3.485838779956427,37.41258741258741,87.4,65.4
519317,"Stanton, Giancarlo",0.352,31.3,7.9,12.472647702407002,55.072463768115945,94.6,79.6
676694,"Meyers, Jake",0.304,22.7,6.8,4.6875,37.03703703703704,86.7,65.5
641598,"Garver, Mitch",0.285,30.9,12.3,4.651162790697675,39.66244725738397,89.9,69.5
671732,"Butler, Lawrence",0.339,23.9,7.8,7.53880266075388,47.4025974025974,91.1,72.5
680777,"Jeffers, Ryan",0.304,20.2,6.9,5.806451612903226,33.84615384615385,86.6,70.3
677800,"Abreu, Wilyer",0.317,28.0,8.9,6.935123042505594,50.53763440860215,91.6,72.7
664238,"Moore, Dylan",0.298,27.8,11.8,5.0113895216400905,36.25498007968128,88.3,71.0
642350,"Siri, Jose",0.296,38.0,6.7,7.829977628635347,41.596638655462186,86.8,69.5
641680,"Heim, Jonah",0.277,18.3,5.3,4.480651731160896,36.38814016172507,88.4,68.5
571745,"Haniger, Mitch",0.292,29.8,9.5,5.4373522458628845,45.88235294117647,90.5,71.0
672761,"Pérez, Wenceel",0.291,21.5,7.5,3.0660377358490565,30.333333333333336,87.7,68.7
670042,"Raley, Luke",0.316,29.7,5.9,6.593406593406594,41.75824175824176,87.8,72.7
666139,"Lowe, Josh",0.295,32.1,7.3,6.266318537859007,46.12068965517241,90.8,71.3
677587,"Rocchio, Brayan",0.275,20.4,9.8,2.7210884353741496,22.33333333333333,82.7,66.2
592669,"Renfroe, Hunter",0.291,19.8,8.5,4.716981132075472,39.40397350993378,88.5,73.7
669224,"Wells, Austin",0.339,21.0,11.4,6.038647342995169,38.90909090909091,87.5,70.7
676059,"Westburg, Jordan",0.353,21.7,4.9,8.501118568232663,46.10591900311526,90.8,69.0
670032,"Lopez, Nicky",0.268,15.1,8.3,1.1235955056179776,16.913946587537094,83.7,62.0
572138,"Singleton, Jon",0.311,27.2,11.6,5.445544554455446,37.24696356275304,88.7,70.0
664040,"Lowe, Brandon",0.343,26.5,7.3,8.037825059101655,44.72727272727273,89.8,70.9
666310,"Naylor, Bo",0.26,31.4,7.2,4.896907216494846,37.71186440677966,88.3,68.4
673357,"Robert Jr., Luis",0.279,33.3,6.1,5.91016548463357,40.71146245059288,90.1,72.8
807799,"Yoshida, Masataka",0.322,12.4,6.4,4.275534441805226,37.5,88.0,69.5
679529,"Torkelson, Spencer",0.283,27.6,8.7,4.199475065616798,39.49579831932773,89.0,72.0
502054,"Pham, Tommy",0.322,22.4,7.0,5.236907730673317,42.90780141843972,90.8,71.3
664728,"Isbel, Kyle",0.281,20.7,6.3,2.8169014084507045,36.27450980392157,86.2,68.8
687462,"Horwitz, Spencer",0.338,18.5,10.6,5.540897097625329,36.6412213740458,88.2,67.9
663616,"Larnach, Trevor",0.345,22.3,9.8,6.7669172932330826,45.149253731343286,92.0,71.1
592192,"Canha, Mark",0.289,21.1,10.7,2.4,37.142857142857146,88.2,66.5
664913,"Brown, Seth",0.294,28.0,6.3,5.5,40.61302681992337,89.5,71.5
669304,"Miranda, Jose",0.306,15.4,4.0,4.672897196261682,38.93805309734513,88.9,69.0
666160,"Moniak, Mickey",0.283,27.3,5.0,6.220095693779904,34.40860215053764,87.7,70.9
681807,"Fry, David",0.326,21.6,9.8,4.896907216494846,37.64705882352941,88.1,68.8
596146,"Kepler, Max",0.301,20.1,5.5,4.511278195488721,36.76975945017183,88.7,69.1
672386,"Kirk, Alejandro",0.324,13.2,8.8,5.194805194805195,40.939597315436245,89.4,68.4
621439,"Buxton, Byron",0.353,25.6,4.9,8.785529715762273,48.06201550387597,91.7,72.9
643289,"Dubón, Mauricio",0.272,12.9,3.7,2.336448598130841,26.478873239436616,85.0,67.3
676391,"Clement, Ernie",0.282,9.1,2.2,3.325942350332594,24.937027707808564,84.9,64.2
666023,"Fermin, Freddy",0.279,18.0,6.0,2.452316076294278,33.935018050541515,86.4,68.3
519203,"Rizzo, Anthony",0.297,17.3,7.2,2.933333333333333,33.21167883211679,86.7,67.0
686676,"Lee, Korey",0.255,31.0,4.1,4.8346055979643765,37.64705882352941,87.5,69.6
592273,"Drury, Brandon",0.259,22.5,7.5,2.5,35.62753036437247,87.6,70.7
647351,"Toro, Abraham",0.291,17.1,5.2,3.3057851239669422,29.6028880866426,86.9,67.8
671289,"Freeman, Tyler",0.302,13.9,7.1,2.356020942408377,34.62897526501767,86.9,69.4
672820,"Sosa, Lenyn",0.316,20.9,3.0,4.619565217391304,41.15523465703971,88.6,70.2
643376,"Jansen, Danny",0.289,18.8,12.3,4.320987654320987,29.545454545454547,86.6,66.4
621043,"Correa, Carlos",0.355,16.8,9.9,6.6115702479338845,44.65648854961832,90.3,73.2
666163,"Rortvedt, Ben",0.267,26.6,10.4,2.140672782874617,30.69306930693069,86.0,68.0
663656,"Tucker, Kyle",0.4,16.1,15.8,8.630952380952381,44.888888888888886,91.1,69.7
676356,"DeLuca, Jonny",0.272,21.3,6.4,2.7700831024930745,28.01556420233463,83.3,68.3
664034,"France, Ty",0.311,24.4,8.2,5.88235294117647,37.15596330275229,87.9,68.6
686681,"Massey, Michael",0.309,15.8,3.9,5.633802816901409,36.87943262411347,88.5,69.5
622534,"Margot, Manuel",0.308,15.7,6.1,3.7900874635568513,33.58490566037736,87.3,70.0
680700,"Palacios, Richie",0.325,21.3,13.7,2.229299363057325,30.303030303030305,86.2,67.3
665828,"Cabrera, Oswaldo",0.287,18.8,6.5,2.7777777777777777,34.85477178423236,87.2,66.5
668670,"Rogers, Jake",0.297,29.5,6.3,6.25,41.78403755868544,89.0,69.1
656716,"McKinstry, Zach",0.294,21.2,7.4,3.076923076923077,32.608695652173914,87.8,65.4
570482,"Urshela, Gio",0.304,15.1,5.6,3.3950617283950617,27.734375,86.3,66.4
666397,"Julien, Edouard",0.285,34.0,10.7,5.333333333333334,37.80487804878049,87.8,69.8
668904,"Lewis, Royce",0.319,22.7,8.1,7.763975155279502,37.66816143497758,86.8,71.3
686823,"Brennan, Will",0.302,13.7,4.8,3.7037037037037033,32.50883392226148,85.7,67.0
678009,"Meadows, Parker",0.298,25.5,8.4,5.033557046979865,32.142857142857146,86.5,68.3
624428,"Frazier, Adam",0.286,20.1,7.5,2.0408163265306123,22.81553398058253,83.3,64.4
607680,"Pillar, Kevin",0.275,22.0,5.1,2.547770700636943,29.68036529680365,84.4,67.0
608701,"Refsnyder, Rob",0.326,25.6,8.5,6.229508196721312,43.07692307692308,89.6,70.9
650391,"Jiménez, Eloy",0.3,20.1,6.0,5.747126436781609,49.01960784313725,92.0,71.9
666152,"Hamilton, David",0.281,25.2,6.9,3.785488958990536,32.242990654205606,85.8,65.4
666182,"Bichette, Bo",0.303,19.1,5.7,3.2835820895522385,42.971887550200805,89.2,68.6
609280,"Andujar, Miguel",0.282,13.2,4.1,2.19435736677116,33.71647509578544,86.1,69.9
608348,"Kelly, Carson",0.314,17.6,8.0,4.792332268370607,39.20704845814978,87.6,68.3
602104,"Urías, Ramón",0.328,18.3,7.6,6.312292358803987,38.53211009174312,88.3,69.2
543877,"Vázquez, Christian",0.265,20.6,3.5,2.857142857142857,36.55462184873949,87.0,66.4
681481,"Carpenter, Kerry",0.379,25.4,7.1,11.52542372881356,46.35416666666667,90.5,69.5
663527,"Nevin, Tyler",0.296,23.0,9.0,5.755395683453238,40.76086956521739,89.8,66.1
642086,"Smith, Dominic",0.305,23.4,9.0,6.474820143884892,38.58695652173913,89.1,67.2
650859,"Rengifo, Luis",0.295,14.5,5.3,1.973684210526316,32.5,86.8,67.8
605170,"Caratini, Victor",0.321,19.5,7.7,4.044117647058823,43.07692307692308,91.2,70.5
