"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1200,656302,"Cease, Dylan",1200,100,0.252,0.168,0.337,0.42,0.32,0.313,0.242,66,262,88.3,14.7,2618,91.1,90.85,201,596,604,-0.19999999999998863,6.31,118,149,124,150,301,324,297,"0.308","-0.308","69.4","7.4",291,181,38,20,0,8,85,29.2,23,7.9,2.09363,0.703,0.07532,-0.02591,"91.8",157,39.77900552486188,11.049723756906078,6.872852233676976,6.12,-1.33,0.23,2.3,0.311,20,"-0.025666667",0.304,0.416,"0.025666667",0.01,0.007000000000000006,0.004,0.007,33.7,"50.4",11.666179667634909,-4.29058260722484,31.813285071115203,0.5311418685121108,37.527382867017664,31.88725261477697
1134,601713,"Pivetta, Nick",1134,100,0.219,0.138,0.276,0.357,0.279,0.315,0.238,59,269,88.5,19.2,2441,87.8,88.28,142,541,593,0.5,6.82,117,150,123,150,302,329,301,"11.855","-11.855","69.9","7.2",294,193,39,11,1,8,79,26.9,21,7.1,2.39226,0.64602,-0.27784,-0.10296,"91.8",167,40.41450777202073,11.917098445595855,7.8231292517006805,6.85,-0.95,0.11,2.66,0.276,23,"-1.045414462",0.296,0.424,"1.045414462",-0.019,-0.019999999999999962,-0.067,-0.036,26.2,"58.0",11.179882211094219,-2.15915348530598,30.97598639381469,0.5181644359464627,37.580906959685485,30.884284013604432
1052,681190,"Vásquez, Randy",1052,100,0.244,0.139,0.258,0.382,0.328,0.383,0.274,58,238,88.8,16,2560,88.3,88.06,76,453,599,-0.20000000000000284,6.21,116,149,123,150,300,326,299,"-2.636","2.636","71.0","7.2",277,202,42,7,1,8,37,13.4,34,12.3,2.3179,0.64303,0.02304,0.05622,"92.4",157,40.099009900990104,11.386138613861387,8.303249097472925,6,-1.77,0.11,2.3,0.347,23,"0.250570342",0.375,0.511,"-0.250570342",-0.03,-0.028000000000000025,-0.129,-0.055,16.8,"37.4",10.037526016456866,-1.080335209177926,32.63301817448818,0.5248868778280543,36.56538304006466,29.79756823056693
923,650633,"King, Michael",923,100,0.195,0.132,0.25,0.327,0.264,0.284,0.208,40,205,87.6,16.8,2363,89.1,88.08,113,407,516,-1,6.03,117,149,123,150,294,321,297,"4.654","-4.654","69.4","7.4",225,142,25,9,0,6,64,28.4,17,7.6,2.34419,0.59271,0.68664,-0.27416,"91.9",148,39.436619718309856,11.267605633802818,7.111111111111111,5.52,-3.11,-0.1,2.48,0.262,16,"-0.504225352",0.275,0.371,"0.504225352",-0.013,-0.013000000000000012,-0.044,-0.02,27.8,"27.1",12.21457537275611,-4.902629891035663,32.449158349402644,0.4847715736040609,37.703583000551596,32.39899214506842
642,663568,"Kolek, Stephen",642,100,0.237,0.066,0.27,0.303,0.285,0.316,0.25,36,152,91.6,6,2224,90.9,90.96,53,288,354,0.09999999999999432,6.38,114,148,120,150,298,321,295,"2.574","-2.574","70.5","6.9",173,125,32,1,0,3,29,16.8,16,9.2,2.27701,0.50864,0.53891,-0.04349,"92.7",144,48.8,4,2.8901734104046244,5.23,-2.79,-0.09,2.41,0.318,5,"-0.400934579",0.334,0.372,"0.400934579",-0.013,-0.016000000000000014,-0.069,-0.031,18.4,"33.3",4.02296690155469,6.1084674813784465,31.896379712195195,0.39928057553956836,36.95358999672624,25.932331310283438
543,592094,"Adam, Jason",543,100,0.188,0.077,0.25,0.265,0.26,0.274,0.189,22,117,87.2,13.3,2393,86.9,86.85,89,258,285,-0.10000000000000853,6.4,116,150,122,149,299,324,296,"5.444","-5.444","70.2","7.7",139,83,17,3,0,2,37,26.6,16,11.5,2.68987,0.38408,0.43264,-0.27164,"91.4",142,33.734939759036145,8.433734939759036,5.0359712230215825,6.41,-1.01,-0.03,2.44,0.292,7,"-1.002578269",0.293,0.313,"1.002578269",-0.001,-0.0010000000000000009,-0.048,-0.014,34.5,"38.2",14.85381250724115,-10.655098833139848,30.14663616494388,0.4940239043824701,37.52231385317083,35.992717711542724
483,669093,"Estrada, Jeremiah",483,100,0.204,0.13,0.292,0.333,0.266,0.269,0.202,22,108,89.9,19.5,2078,93.6,94.17,88,270,213,0.6000000000000085,6.85,111,147,123,147,301,324,296,"3.982","-3.982","68.1","6.8",122,70,15,3,1,3,42,34.4,9,7.4,1.36702,1.29538,0.27893,-0.12793,"91.4",184,41.42857142857143,7.142857142857142,4.098360655737705,5.88,-0.57,-0.03,2.86,0.267,5,"-0.824430642",0.268,0.335,"0.824430642",0.002,-0.0010000000000000009,-0.002,-0.003,32.6,"66.1",7.729244825355519,2.0570155905007534,28.119127707239347,0.5,36.53679427386786,28.337835960589388
450,673513,"Matsui, Yuki",450,100,0.211,0.158,0.277,0.368,0.289,0.282,0.203,20,95,88.8,19.3,2044,87,85.99,69,224,226,-1,5.87,111,148,121,147,299,323,295,"1.934","-1.934","68.6","7.4",109,68,10,7,1,2,30,27.5,11,10.1,2.26669,0.79514,0.19773,-0.2208,"91.8",167,38.23529411764706,7.352941176470589,4.587155963302752,6.05,1.99,-0.01,2.26,0.287,5,"-0.429777778",0.282,0.358,"0.429777778",0.008,0.0050000000000000044,0.01,0.007,30.8,"56.5",11.625706123088122,-5.633033145587391,32.809915040396916,0.5023041474654378,37.428648428994734,32.66106729500449
447,593974,"Peralta, Wandy",447,100,0.237,0.114,0.281,0.351,0.297,0.332,0.265,27,114,86.8,2.1,2181,91.8,90.58,68,223,224,-1.2000000000000028,5.7,114,149,120,149,299,324,296,"1.405","-1.405","70.0","7.4",128,91,18,7,0,2,24,18.8,13,10.2,2.06289,0.66917,1.13047,-0.36769,"91.6",129,32.967032967032964,7.6923076923076925,5.46875,6.13,0.71,0.23,2.17,0.313,7,"-0.314317673",0.337,0.421,"0.314317673",-0.028,-0.02400000000000002,-0.07,-0.035,30.5,"47.1",10.913440662317237,-2.144395527270342,34.2943009730143,0.48372093023255813,38.07112377438419,30.765081627741342
438,689690,"Jacob, Alek",438,100,0.323,0.24,0.338,0.563,0.42,0.374,0.276,31,96,85.7,19,2253,80.3,81.34,46,203,235,1,7.35,114,149,126,149,298,324,296,"-9.611","9.611","69.4","7.2",114,80,20,5,0,6,18,15.8,10,8.8,2.96806,0.6724,1.16947,0.13934,"91.3",172,33.75,8.75,6.140350877192982,3.87,-2.74,-0.11,2.76,0.412,7,"2.194292237",0.377,0.478,"-2.194292237",0.047,0.034999999999999976,0.085,0.046,22.7,"-0.5",11.073246581375995,-4.988997947978776,30.621839444155277,0.4175257731958763,36.77864659846948,33.77020560419523
