"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1044,592518,"Machado, Manny",1044,100,0.32,0.197,0.354,0.516,0.389,0.404,0.319,78,244,93.1,14.3,2294,89.2,89.07,123,504,540,-0.10000000000000853,6.39,108,150,124,147,304,326,297,"-16.92","16.92","73.0","7.8",271,202,50,18,0,10,44,16.2,25,9.2,2.3892,0.54086,0.29096,0.02384,"93.3",167,52.97029702970298,12.376237623762377,9.22509225092251,5.64,-0.66,0.21,2.2,0.38,25,"1.620689655",0.382,0.557,"-1.620689655",0.001,-0.0020000000000000018,-0.041,-0.015,24.4,"35.5",7.088831074738462,0.8601766519797112,27.02540071177038,0.54,40.81935622649585,30.152905848984812
1042,665487,"Tatis Jr., Fernando",1042,100,0.26,0.199,0.279,0.459,0.346,0.378,0.28,64,246,93.4,6.3,2253,89.4,89.3,140,499,543,-0.10000000000000853,6.43,110,152,124,147,305,328,298,"-13.579","13.579","70.9","7.1",274,196,42,8,1,13,51,18.6,26,9.5,2.39329,0.52482,0.38821,0.12678,"93.6",146,50.51020408163265,12.755102040816327,9.124087591240876,5.66,-0.74,0.19,2.22,0.332,25,"1.303166987",0.353,0.525,"-1.303166987",-0.02,-0.020999999999999963,-0.066,-0.032,28.1,"35.8",6.40401179898366,4.740992314368518,30.745440663205603,0.5257731958762887,39.08085439023149,27.547350876984463
998,593428,"Bogaerts, Xander",998,100,0.232,0.086,0.276,0.318,0.285,0.312,0.254,51,220,89.5,12.7,2275,89,88.76,75,395,603,-0.20000000000000284,6.37,108,151,123,147,300,322,292,"4.672","-4.672","70.9","7.3",251,177,38,10,0,3,47,18.7,26,10.4,2.40606,0.53915,0.36742,0.04231,"92.2",142,37.28813559322034,3.954802259887006,2.788844621513944,5.64,-0.74,0.13,2.22,0.311,7,"-0.468136273",0.334,0.365,"0.468136273",-0.022,-0.02300000000000002,-0.047,-0.027,19,"35.4",9.385228022370347,-6.081209422572517,30.870875206053498,0.5079787234042553,37.53399846913677,34.97791434832704
936,650333,"Arraez, Luis",936,100,0.274,0.118,0.267,0.392,0.306,0.278,0.266,65,237,83.6,11.9,2290,89.5,89.43,20,476,460,-0.09999999999999432,6.43,114,147,108,149,275,314,301,"5.18","-5.18","60.1","5.7",257,239,46,13,3,3,5,1.9,12,4.7,2.28206,0.6398,0.33132,-0.11271,"89.5",164,14.644351464435147,0.41841004184100417,0.38910505836575876,5.66,-0.67,-0.17,2.32,0.308,1,"-0.553418803",0.301,0.332,"0.553418803",0.008,0.007000000000000006,0.06,0.028,4.2,"35.7",3.7849001520328187,6.397269271338139,36.569849732204084,0.3920704845814978,35.00878908624274,30.497682592842622
903,657757,"Sheets, Gavin",903,100,0.249,0.205,0.28,0.454,0.33,0.336,0.261,51,205,92.1,16.7,2278,88.1,87.94,105,402,501,-0.19999999999998863,6.34,114,145,124,150,292,324,302,"-3.991","3.991","71.9","7.7",223,154,32,7,1,11,52,23.3,15,6.7,2.58312,0.42356,0.19007,-0.13104,"93.5",171,52.5974025974026,10.38961038961039,7.174887892376682,5.67,-1.16,-0.15,2.22,0.305,16,"0.441971207",0.317,0.465,"-0.441971207",-0.012,-0.01200000000000001,-0.011,-0.006,26.1,"35.5",8.13918451382378,-5.80648380686284,27.946407970203918,0.5238095238095238,39.036346637982604,33.024503566446846
672,630105,"Cronenworth, Jake",672,100,0.236,0.157,0.283,0.394,0.344,0.314,0.22,30,127,88.6,15.8,2242,90.4,90.39,52,274,398,0,6.41,116,147,114,151,286,321,306,"-2.075","2.075","67.9","6.8",158,97,19,6,1,4,33,20.9,25,15.8,2.15946,0.68261,0.47815,-0.15892,"91.3",161,39.175257731958766,4.123711340206185,2.5316455696202533,5.64,-0.88,-0.24,2.31,0.369,4,"0.308779762",0.357,0.326,"-0.308779762",0.016,0.01200000000000001,0.068,0.03,19,"35.2",4.697222893508178,2.1551953283663083,31.354936819336235,0.33707865168539325,36.13288333884947,28.822206546091333
568,701538,"Merrill, Jackson",568,100,0.299,0.172,0.362,0.471,0.35,0.369,0.296,47,157,88.2,10.9,2267,89,88.94,88,344,224,-0.09999999999999432,6.39,113,145,115,150,291,323,306,"-9.226","9.226","70.2","7.3",169,121,31,10,1,5,38,22.5,9,5.3,2.41271,0.5328,0.28952,-0.13832,"91.4",167,37.1900826446281,14.049586776859504,10.059171597633137,5.59,-0.41,-0.19,2.35,0.337,17,"1.624295775",0.337,0.526,"-1.624295775",0.003,0,-0.055,-0.019,25.6,"34.5",7.536285712049395,3.088487246617117,36.997728227024986,0.39104477611940297,38.482484830683354,25.67510883030691
555,553869,"Díaz, Elias",555,100,0.217,0.094,0.27,0.312,0.267,0.256,0.205,30,138,87.3,15.9,2295,88.7,88.63,92,282,273,-0.10000000000000853,6.42,109,151,123,147,299,323,293,"7.713","-7.713","69.5","6.8",151,104,23,4,0,3,35,23.2,11,7.3,2.49488,0.49976,0.26211,0.07641,"92.0",152,38.46153846153847,5.769230769230769,3.9735099337748347,5.59,-0.74,0.21,2.21,0.28,6,"-1.38972973",0.27,0.301,"1.38972973",0.012,0.010000000000000009,0.011,0.011,32.6,"33.8",5.029369884377211,-4.178935575477052,29.6407126977432,0.49097472924187724,35.56995233236587,38.31384389465833
544,578428,"Iglesias, Jose",544,100,0.248,0.041,0.294,0.289,0.273,0.265,0.237,30,121,82.3,-4.2,2275,90,89.83,45,255,289,-0.20000000000000284,6.41,109,150,117,148,298,317,285,"2.983","-2.983","65.3","6.4",135,104,25,5,0,0,20,14.8,7,5.2,2.25031,0.62727,0.41783,0.03746,"90.2",121,23.076923076923077,0.9615384615384616,0.7407407407407408,5.6,-0.56,0.19,2.22,0.308,1,"-0.548345588",0.299,0.283,"0.548345588",0.011,0.009000000000000008,0.006,0.008,17.6,"33.7",0.1500996487680215,7.86743639217086,33.52236796039406,0.26337448559670784,36.202920726721906,23.50711929122636
382,642180,"Wade, Tyler",382,100,0.244,0.061,0.357,0.305,0.293,0.243,0.189,20,82,77.8,4,2340,89,88.92,47,168,214,-0.09999999999999432,6.38,113,146,102,150,279,316,297,"0.887","-0.887","59.9","6.4",97,60,17,1,2,0,26,26.8,11,11.3,2.46162,0.51392,0.30669,-0.21541,"89.3",121,13.333333333333334,0,0,5.53,-1.22,-0.16,2.21,0.333,0,"-0.232198953",0.285,0.231,"0.232198953",0.055,0.04800000000000004,0.074,0.05,28,"32.3",4.450211331393796,-3.0821112552106467,31.722601580432308,0.4276729559748428,36.141165271324915,27.445608786083177
