"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
463,472610,"García, Luis",463,100,0.29,0.14,0.368,0.43,0.349,0.353,0.287,29,100,91.1,-0.7,2031,89.2,89.55,50,224,239,0.29999999999999716,6.53,113,149,124,149,297,315,295,"-1.16","1.16","68.7","7.2",112,78,19,7,2,1,23,20.5,11,9.8,2.38816,0.52095,0.24699,-0.20842,"92.5",122,50,7.6923076923076925,5.357142857142857,6.23,-2.46,0.06,1.95,0.36,6,"0.250539957",0.359,0.452,"-0.250539957",0.003,0.0010000000000000009,-0.022,-0.004,22.3,"44.7",9.429668235909809,-1.0763543362405974,33.44532213739775,0.44607843137254904,37.16286397717545,30.75726963666825
368,489446,"Yates, Kirby",368,100,0.244,0.256,0.381,0.5,0.351,0.282,0.208,19,78,87.7,13.8,1740,89.4,88.85,73,191,177,-0.5,6.07,112,150,122,148,302,318,295,"-0.279","0.279","70.3","7.2",86,45,5,11,0,3,33,38.4,7,8.1,2.31283,0.56649,1.10035,0.32117,"91.8",155,44.44444444444444,11.11111111111111,5.813953488372093,5.2,-2.44,-0.02,1.94,0.314,5,"0.075815217",0.282,0.356,"-0.075815217",0.036,0.03200000000000003,0.144,0.069,38.2,"19.4",8.86426940713616,-2.25381098659874,34.81126080429475,0.3448275862068966,35.169111871585706,31.29279945300914
357,477132,"Kershaw, Clayton",357,100,0.284,0.173,0.323,0.457,0.353,0.348,0.281,23,81,92.8,14.5,2327,84.7,85.13,38,155,202,0.3999999999999915,6.59,108,152,120,148,295,317,291,"-3.535","3.535","71.3","7.5",91,67,13,8,0,2,15,16.5,9,9.9,2.56182,0.67591,-0.19034,0.04059,"93.4",138,55.223880597014926,5.970149253731343,4.395604395604396,6.03,1.67,0.14,2.11,0.352,4,"0.990196078",0.353,0.435,"-0.990196078",0.003,-0.0010000000000000009,0.022,0.005,24.5,"55.0",12.340056398401668,-8.655778501734158,33.35778126984706,0.5328947368421053,36.63469576173999,34.337121758652685
306,607192,"Glasnow, Tyler",306,100,0.185,0.185,0.211,0.369,0.309,0.37,0.241,12,65,88.7,13.8,2614,91.2,93.27,32,116,190,2.0999999999999943,7.57,112,150,123,150,300,319,295,"-2.863","2.863","67.9","7.1",77,42,8,0,0,4,23,29.9,11,14.3,2.23105,0.55226,0.04046,0.0402,"91.8",161,35.714285714285715,19.047619047619047,10.38961038961039,5.99,-1.69,0.24,2.23,0.312,8,"0.935620915",0.36,0.493,"-0.935620915",-0.056,-0.04799999999999999,-0.124,-0.061,27.6,"54.2",10.65234984461171,-0.6246623367453645,33.44588559473343,0.5132743362831859,35.24247353148407,30.398942301857133
303,669422,"Sauer, Matt",303,100,0.219,0.151,0.22,0.37,0.265,0.291,0.253,16,73,87.7,11.8,2316,90.2,90.67,26,153,150,0.5,6.51,114,151,127,150,297,318,299,"1.262","-1.262","68.9","6.9",78,62,11,2,0,3,13,16.7,3,3.8,2.16,0.65257,0.1232,0.05231,"91.1",152,32.25806451612903,6.451612903225806,5.128205128205128,5.99,-2.29,0,2.28,0.244,4,"-0.41650165",0.276,0.407,"0.41650165",-0.034,-0.03200000000000003,-0.037,-0.026,17,"45.0",6.651558776729858,2.7384394918391397,30.741979443456927,0.4899328859060403,36.06740992981975,28.38792625004865
236,680736,"Wrobleski, Justin",236,100,0.268,0.179,0.293,0.446,0.34,0.363,0.279,15,56,88.5,6.7,2285,90.5,89.24,24,117,119,-1.2999999999999972,5.52,110,150,123,148,300,319,297,"-1.773","1.773","68.7","6.8",64,45,11,1,0,3,13,20.3,6,9.4,2.23085,0.58576,0.31013,-0.03097,"92.4",136,48.888888888888886,6.666666666666667,4.6875,5.54,2.22,0.07,2.52,0.333,3,"0.751271186",0.348,0.487,"-0.751271186",-0.011,-0.014999999999999958,-0.041,-0.023,20.5,"36.8",3.632201927969768,2.7910243085599244,32.44757828141581,0.4247787610619469,35.22042597762128,27.244777686490853
187,642152,"Trivino, Lou",400,46.8,0.256,0.051,0.333,0.308,0.264,0.35,0.283,10,39,84.9,16,2203,88.8,89.02,23,89,98,0.20000000000000284,6.39,110,150,121,149,298,316,293,"1.831","-1.831","70.0","7.4",42,30,8,2,0,0,10,23.8,1,2.4,2.41738,0.51027,0.12818,-0.22059,"91.0",143,23.333333333333332,10,7.142857142857142,5.98,-1.19,-0.07,2.47,0.286,3,"-0.979144385",0.318,0.481,"0.979144385",-0.027,-0.03200000000000003,-0.173,-0.086,25.8,"33.9",11.47190988267659,-1.855268481347804,31.960347221981728,0.5465116279069767,37.442550098344334,30.440282346626677
172,605483,"Snell, Blake",172,100,0.27,0.081,0.294,0.351,0.339,0.429,0.343,10,37,84.9,10.3,2333,89.1,90.02,18,74,98,0.9000000000000057,6.77,107,150,121,147,301,316,292,"-1.151","1.151","68.0","7.3",46,34,7,3,0,0,4,8.7,8,17.4,2.07599,0.8236,0.12333,-0.22345,"92.8",158,38.23529411764706,11.76470588235294,8.695652173913043,6.53,1.97,-0.09,2.07,0.391,4,"0.669186047",0.456,0.524,"-0.669186047",-0.073,-0.065,-0.173,-0.09,24.3,"55.2",9.994304795082627,-4.3290794870554,35.150318096405506,0.47058823529411764,35.72972930677425,32.97750841145195
145,595014,"Treinen, Blake",145,100,0.25,0.125,0.333,0.375,0.319,0.304,0.224,8,32,85,17.5,2481,89.7,88.44,14,66,79,-1.2999999999999972,5.62,111,150,120,149,295,316,293,"0.291","-0.291","67.8","7.2",36,22,6,1,0,1,10,27.8,3,8.3,2.5789,0.30167,-0.02131,0.02007,"90.7",168,31.818181818181817,4.545454545454546,2.7777777777777777,6.22,-2.79,0.25,2.45,0.333,1,"-0.200689655",0.31,0.371,"0.200689655",0.026,0.02300000000000002,0.004,0.015,21.2,"31.7",7.609963950197917,-1.0857957712663202,33.57950561577045,0.546875,36.398259225877524,30.459453054973316
116,676272,"Miller, Bobby",116,100,0.44,0.32,0.563,0.76,0.531,0.408,0.318,11,25,91,9.2,2379,89.9,90.23,9,51,65,0.29999999999999716,6.61,105,150,121,150,294,315,296,"-4.497","4.497","67.9","7.0",27,18,7,2,0,2,7,25.9,1,3.7,2.47552,0.43365,0.45491,-0.16302,"91.6",183,44.44444444444444,16.666666666666664,11.11111111111111,5.99,-0.75,0.13,2.17,0.481,3,"3.876724138",0.369,0.588,"-3.876724138",0.122,0.11199999999999999,0.172,0.123,17.6,"45.1",9.035538976127453,0.6618117182081604,32.12171707071869,0.43137254901960786,37.22464191033473,28.0394114640069
